"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 02 13:36:25 EST 2022","Fri Dec 02 13:36:37 EST 2022","12004","","how to Play article and email","","how to Play article and email","go to spelling bee","go to spelling bee",""
"passed","Fri Dec 02 13:37:02 EST 2022","Fri Dec 02 13:37:02 EST 2022","60","","Verify stats toggle","","Verify stats toggle","toggle stats","toggle stats",""
"passed","Fri Dec 02 13:36:38 EST 2022","Fri Dec 02 13:36:38 EST 2022","303","","Confirming Word Validation","","Confirming Word Validation","verify the delete button","verify the delete button",""
"passed","Fri Dec 02 13:36:49 EST 2022","Fri Dec 02 13:36:59 EST 2022","9901","","How to Play article","","How to Play article","go to spelling bee","go to spelling bee",""
"passed","Fri Dec 02 13:36:36 EST 2022","Fri Dec 02 13:36:43 EST 2022","6598","","Verify stats page","","Verify stats page","stats page","stats page",""
"passed","Fri Dec 02 13:36:25 EST 2022","Fri Dec 02 13:36:37 EST 2022","12338","","Confirming Word Validation","","Confirming Word Validation","go to spelling bee","go to spelling bee",""
"passed","Fri Dec 02 13:36:37 EST 2022","Fri Dec 02 13:36:38 EST 2022","140","","Confirming Word Validation","","Confirming Word Validation","add three letters","add three letters",""
"passed","Fri Dec 02 13:37:00 EST 2022","Fri Dec 02 13:37:02 EST 2022","1593","","Verify stats toggle","","Verify stats toggle","Open Stats Modal","Open Stats Modal",""
"passed","Fri Dec 02 13:36:59 EST 2022","Fri Dec 02 13:37:01 EST 2022","2519","","How to Play article","","How to Play article","Open how to play article","Open how to play article",""
"passed","Fri Dec 02 13:36:56 EST 2022","Fri Dec 02 13:37:03 EST 2022","6440","","Spelling Bee button in worlde","","Spelling Bee button in worlde","Verift attempt 3 out of 6","Verift attempt 3 out of 6",""
"passed","Fri Dec 02 13:36:25 EST 2022","Fri Dec 02 13:36:42 EST 2022","17095","","Anon Welcome Modal","","Anon Welcome Modal","enter two words","enter two words",""
"passed","Fri Dec 02 13:36:37 EST 2022","Fri Dec 02 13:36:47 EST 2022","9592","","how to Play article and email","","how to Play article and email","Open how to play article","Open how to play article",""
"passed","Fri Dec 02 13:36:25 EST 2022","Fri Dec 02 13:36:30 EST 2022","4588","","Wordle Login with FB and Google accounts","","Wordle Login with FB and Google accounts","Verify the welcome screen","Verify the welcome screen",""
"passed","Fri Dec 02 13:36:30 EST 2022","Fri Dec 02 13:36:42 EST 2022","11971","","Wordle Login with FB and Google accounts","","Wordle Login with FB and Google accounts","Login with Facebook ","Login with Facebook ",""
"passed","Fri Dec 02 13:36:47 EST 2022","Fri Dec 02 13:36:47 EST 2022","683","","how to Play article and email","","how to Play article and email","Open buzzword email","Open buzzword email",""
"passed","Fri Dec 02 13:36:48 EST 2022","Fri Dec 02 13:37:00 EST 2022","12176","","Verify stats toggle","","Verify stats toggle","go to spelling bee","go to spelling bee",""
"passed","Fri Dec 02 13:36:42 EST 2022","Fri Dec 02 13:36:49 EST 2022","7240","","Anon Welcome Modal","","Anon Welcome Modal","Verift attempt 3 out of 6","Verift attempt 3 out of 6",""
"passed","Fri Dec 02 13:36:25 EST 2022","Fri Dec 02 13:36:32 EST 2022","7367","","How to play Modal","","How to play Modal","verify how to play modal","verify how to play modal",""
"skipped","Fri Dec 02 13:36:42 EST 2022","Fri Dec 02 13:36:42 EST 2022","0","","Wordle Login with FB and Google accounts","","Wordle Login with FB and Google accounts","Login with Google ","Login with Google ",""
"passed","Fri Dec 02 13:36:38 EST 2022","Fri Dec 02 13:36:40 EST 2022","2321","","Confirming Word Validation","","Confirming Word Validation","verify the shuffle button","verify the shuffle button",""
"passed","Fri Dec 02 13:36:46 EST 2022","Fri Dec 02 13:36:56 EST 2022","10474","","Spelling Bee button in worlde","","Spelling Bee button in worlde","enter two words","enter two words",""
